EMPID,DATE1,DATE2,DATE3,DATE4,DATE5,NUM
"1         ","1952-03-25 14:26:45.087","1952-03-25 14:26:45.000","1952-03-25 00:00:00.000","1952-03-25 00:00:00.000","1970-01-01 14:26:45.000",9
"2         ","1999-01-06 12:36:09.037","1999-01-06 12:36:09.000","1999-01-06 00:00:00.000","1999-06-01 00:00:00.000","1970-01-01 12:36:09.000",9
"3         ","1966-12-31 20:04:09.065","1966-12-31 20:04:09.000","1966-12-31 00:00:00.000","1966-12-31 00:00:00.000","1970-01-01 20:04:09.000",9
"4         ","1976-02-29 23:35:45.096","1976-02-29 23:35:45.000","1976-02-29 00:00:00.000","1976-02-29 00:00:00.000","1970-01-01 23:35:45.000",9
"5         ","1948-02-29 03:51:09.052","1948-02-29 03:51:09.000","1948-02-29 00:00:00.000","1948-02-29 00:00:00.000","1970-01-01 03:51:09.000",9
"6         ","2002-06-27 16:28:45.089","2002-06-27 16:28:45.000","2002-06-27 00:00:00.000","2002-06-27 00:00:00.000","1970-01-01 16:28:45.000",9
"7         ","2002-06-28 11:23:45.084","2002-06-28 11:23:45.000","2002-06-28 00:00:00.000","2002-06-28 00:00:00.000","1970-01-01 11:23:45.000",9
"8         ","2002-06-29 18:06:09.067","2002-06-29 18:06:09.000","2002-06-29 00:00:00.000","2002-06-29 00:00:00.000","1970-01-01 18:06:09.000",9
"9         ","2002-06-30 17:41:09.042","2002-06-29 17:41:09.000","2002-06-30 00:00:00.000","2002-06-30 00:00:00.000","1970-01-01 17:41:09.000",9
"10        ","2002-07-01 08:44:45.105","2002-07-01 08:44:45.000","2002-07-01 00:00:00.000","2002-01-07 00:00:00.000","1970-01-01 08:44:45.000",9
"11        ","2002-07-02 10:58:09.059","2002-07-02 10:58:09.000","2002-07-02 00:00:00.000","2002-07-02 00:00:00.000","1970-01-01 10:58:09.000",9
"12        ","2002-07-03 17:17:00.018","2002-07-03 17:17:00.000","2002-07-03 00:00:00.000","2002-07-03 00:00:00.000","1970-01-01 17:17:00.000",9
"13        ","2002-07-04 06:18:45.079","2002-07-04 06:18:45.000","2002-07-04 00:00:00.000","2002-04-07 00:00:00.000","1970-01-01 06:18:45.000",9
"14        ","1991-10-15 00:45:09.046","1991-10-15 00:45:09.000","1991-10-15 00:00:00.000","1991-10-15 00:00:00.000","1970-01-01 00:45:09.000",9
"16        ","1991-10-15 00:42:45.103","1991-10-15 00:42:45.000","1991-10-15 00:00:00.000","1991-10-15 00:00:00.000","1970-01-01 00:42:45.000",9
"17        ","2001-01-01 01:01:01.010","2001-01-01 01:01:01.000","2001-01-01 00:00:00.000","2001-01-01 00:00:00.000","1970-01-01 01:01:01.000",9
"18        ","2002-02-02 02:02:02.020","2002-02-02 02:02:02.000","2002-02-02 00:00:00.000","2002-02-02 00:00:00.000","1970-01-01 02:02:02.000",9
"19        ","2003-03-03 03:03:03.030","2003-03-03 03:03:03.000","2003-03-03 00:00:00.000","2003-03-03 00:00:00.000","1970-01-01 03:03:03.000",9
"20        ","2005-05-05 05:05:05.050","2005-05-05 05:05:05.000","2005-05-05 00:00:00.000","2005-05-05 00:00:00.000","1970-01-01 05:05:05.000",9
"1         ","1952-03-25 14:26:45.087","1952-03-25 14:26:45.000","1952-03-25 00:00:00.000","1952-03-25 00:00:00.000","1970-01-01 14:26:45.000",9
"2         ","1999-01-06 12:36:09.037","1999-01-06 12:36:09.000","1999-01-06 00:00:00.000","1999-06-01 00:00:00.000","1970-01-01 12:36:09.000",9
"3         ","1966-12-31 20:04:09.065","1966-12-31 20:04:09.000","1966-12-31 00:00:00.000","1966-12-31 00:00:00.000","1970-01-01 20:04:09.000",9
"4         ","1976-02-29 23:35:45.096","1976-02-29 23:35:45.000","1976-02-29 00:00:00.000","1976-02-29 00:00:00.000","1970-01-01 23:35:45.000",9
"5         ","1948-02-29 03:51:09.052","1948-02-29 03:51:09.000","1948-02-29 00:00:00.000","1948-02-29 00:00:00.000","1970-01-01 03:51:09.000",9
"6         ","2002-06-27 16:28:45.089","2002-06-27 16:28:45.000","2002-06-27 00:00:00.000","2002-06-27 00:00:00.000","1970-01-01 16:28:45.000",9
"7         ","2002-06-28 11:23:45.084","2002-06-28 11:23:45.000","2002-06-28 00:00:00.000","2002-06-28 00:00:00.000","1970-01-01 11:23:45.000",9
"8         ","2002-06-29 18:06:09.067","2002-06-29 18:06:09.000","2002-06-29 00:00:00.000","2002-06-29 00:00:00.000","1970-01-01 18:06:09.000",9
